,logM,a,alpha
1962,-0.21181582228987275,4.418118733865497,0.0025887075225496485
1963,-0.21181582228987275,4.4868649442831385,0.002628987977371021
1964,-0.21181582228987275,4.55561115470078,0.002669268432192394
1965,-0.21181582228987275,4.6243573651184215,0.0027095488870137667
1966,-0.21181582228987275,4.693103575536063,0.0027498293418351393
1967,-0.21181582228987275,4.761849785953705,0.0027901097966565123
1968,-0.21181582228987275,4.830595996371346,0.002830390251477885
1969,-0.21181582228987275,4.899342206788988,0.0028706707062992574
1970,-0.21181582228987275,4.96808841720663,0.002910951161120631
1971,-0.21181582228987275,5.0368346276242715,0.0029512316159420035
1972,-0.21181582228987275,5.105580838041913,0.002991512070763376
1973,-0.21181582228987275,5.1743270484595545,0.003031792525584749
1974,-0.21181582228987275,5.243073258877196,0.0030720729804061216
1975,-0.21181582228987275,5.3118194692948375,0.0031123534352274942
1976,-0.21181582228987275,5.380565679712479,0.0031526338900488672
1977,-0.21181582228987275,5.4493118901301205,0.00319291434487024
1978,-0.21181582228987275,5.518058100547762,0.0032331947996916124
1979,-0.21181582228987275,5.5868043109654035,0.0032734752545129854
1980,-0.21181582228987275,5.655550521383046,0.0033137557093343584
1981,-0.21181582228987275,5.724296731800687,0.003354036164155731
1982,-0.21181582228987275,5.793042942218329,0.003394316618977104
1983,-0.21181582228987275,5.8617891526359704,0.0034345970737984766
1984,-0.21181582228987275,5.930535363053612,0.003474877528619849
1985,-0.21181582228987275,5.9992815734712535,0.003515157983441222
1986,-0.21181582228987275,6.068027783888895,0.003555438438262595
1987,-0.21181582228987275,6.1367739943065365,0.0035957188930839674
1988,-0.21181582228987275,6.205520204724178,0.0036359993479053404
1989,-0.21181582228987275,6.2742664151418195,0.003676279802726713
1990,-0.21181582228987275,6.343012625559461,0.0037165602575480856
1991,-0.21181582228987275,6.411758835977103,0.003756840712369459
1992,-0.21181582228987275,6.480505046394745,0.0037971211671908316
1993,-0.21181582228987275,6.549251256812386,0.003837401622012204
1994,-0.21181582228987275,6.617997467230028,0.003877682076833577
1995,-0.21181582228987275,6.686743677647669,0.00391796253165495
1996,-0.21181582228987275,6.755489888065311,0.003958242986476322
1997,-0.21181582228987275,6.824236098482952,0.003998523441297695
1998,-0.21181582228987275,6.892982308900594,0.004038803896119068
1999,-0.21181582228987275,6.961728519318235,0.004079084350940441
2000,-0.09127795352612054,0.15585368797171803,0.00012053149821391376
2001,-0.09127795352612054,0.22459989838935962,0.00017369728367592308
2002,-0.09127795352612054,0.2933461088070012,0.0002268630691379324
2003,-0.09127795352612054,0.3620923192246428,0.0002800288545999418
2004,-0.09127795352612054,0.4308385296422844,0.0003331946400619511
2005,-0.09127795352612054,0.49958474005992604,0.0003863604255239605
2006,-0.09127795352612054,0.5683309504775675,0.0004395262109859698
2007,-0.09127795352612054,0.6370771608952092,0.0004926919964479791
2008,-0.09127795352612054,0.7058233713128508,0.0005458577819099885
2009,-0.09127795352612054,0.7745695817304924,0.0005990235673719979
2010,-0.09127795352612054,0.843315792148134,0.0006521893528340072
2011,-0.09127795352612054,0.9120620025657755,0.0007053551382960165
2012,-0.09127795352612054,0.9808082129834171,0.0007585209237580259
2013,-0.09127795352612054,1.0495544234010588,0.0008116867092200352
2014,-0.09127795352612054,1.1183006338187003,0.0008648524946820445
2015,-0.09127795352612054,1.187046844236342,0.0009180182801440539
2016,-0.09127795352612054,1.2557930546539835,0.0009711840656060633
2017,-0.09127795352612054,1.324539265071625,0.0010243498510680725
2018,-0.09127795352612054,1.3932854754892667,0.001077515636530082
2019,-0.09127795352612054,1.4620316859069082,0.0011306814219920911
2020,-0.09127795352612054,1.53077789632455,0.0011838472074541006
2021,-0.09127795352612054,1.5995241067421915,0.00123701299291611
2022,-0.09127795352612054,1.668270317159833,0.0012901787783781192
2023,-0.09127795352612054,1.7370165275774747,0.0013433445638401287
2024,-0.09127795352612054,1.8057627379951162,0.0013965103493021379
2025,-0.09127795352612054,1.8745089484127577,0.0014496761347641473
2026,-0.09127795352612054,1.9432551588303995,0.0015028419202261568
2027,-0.09127795352612054,2.0120013692480407,0.0015560077056881658
2028,-0.09127795352612054,2.0807475796656822,0.001609173491150175
2029,-0.09127795352612054,2.149493790083324,0.0016623392766121846
2030,-0.09127795352612054,2.2182400005009657,0.0017155050620741939
2031,-0.09127795352612054,2.286986210918607,0.0017686708475362033
2032,-0.09127795352612054,2.3557324213362487,0.0018218366329982125
2033,-0.09127795352612054,2.4244786317538902,0.0018750024184602217
2034,-0.09127795352612054,2.4932248421715317,0.001928168203922231
2035,-0.09127795352612054,2.5619710525891737,0.001981333989384241
2036,-0.09127795352612054,2.630717263006815,0.00203449977484625
2037,-0.09127795352612054,2.6994634734244567,0.0020876655603082593
2038,-0.09127795352612054,2.768209683842098,0.0021408313457702685
2039,-0.09127795352612054,2.8369558942597397,0.0021939971312322777
2040,-0.09127795352612054,2.9057021046773817,0.0022471629166942873
2041,-0.09127795352612054,2.974448315095023,0.0023003287021562966
2042,-0.09127795352612054,3.0431945255126647,0.002353494487618306
2043,-0.09127795352612054,3.111940735930306,0.0024066602730803154
2044,-0.09127795352612054,3.1806869463479477,0.0024598260585423247
2045,-0.09127795352612054,3.249433156765589,0.002512991844004334
2046,-0.09127795352612054,3.318179367183231,0.0025661576294663435
2047,-0.09127795352612054,3.3869255776008726,0.0026193234149283528
2048,-0.09127795352612054,3.455671788018514,0.002672489200390362
2049,-0.09127795352612054,3.5244179984361557,0.002725654985852371
2050,-0.09127795352612054,3.593164208853797,0.0027788207713143804
2051,-0.09127795352612054,3.661910419271439,0.00283198655677639
2052,-0.09127795352612054,3.7306566296890806,0.0028851523422383993
2053,-0.09127795352612054,3.799402840106722,0.0029383181277004085
2054,-0.09127795352612054,3.8681490505243636,0.002991483913162418
2055,-0.09127795352612054,3.936895260942005,0.0030446496986244274
2056,-0.09127795352612054,4.005641471359647,0.003097815484086437
2057,-0.09127795352612054,4.074387681777289,0.0031509812695484462
2058,-0.09127795352612054,4.14313389219493,0.0032041470550104555
2059,-0.09127795352612054,4.2118801026125725,0.0032573128404724656
2060,-0.09127795352612054,4.280626313030214,0.0033104786259344748
